table,sentence
<page_title> Alma Jodorowsky  <section_title> Filmography  <table> <cell> 2016 <col_header> Year   <cell> Kids in Love <col_header> Title   <cell> Evelyn <col_header> Role   ,Alma Jodorowsky had the role of Evelyn in 2016 film Kids in Love.
"<page_title> 1999 British National Party leadership election  <section_title> Results  <table> <cell> Nick Griffin <col_header> British National Party leadership election, 1999  <col_header> Candidate  <row_header>  </row_header>  <cell> 1,082 <col_header> British National Party leadership election, 1999  <col_header> Votes  <row_header>  </row_header>  <cell> 72.5 <col_header> British National Party leadership election, 1999  <col_header> %  <row_header>  </row_header>  <cell> John Tyndall <col_header> British National Party leadership election, 1999  <col_header> Candidate  <row_header>  </row_header>  <cell> 411 <col_header> British National Party leadership election, 1999  <col_header> Votes  <row_header>  </row_header>  <cell> 27.5 <col_header> British National Party leadership election, 1999  <col_header> %  <row_header>  </row_header>  ","John Tyndall received 411 votes (27.5%), while Griffin received 1,082 (72.5%)."
<page_title> Roger Bart  <section_title> Television  <table> <cell> 1994 <col_header> Year   <cell> The George Carlin Show <col_header> Title   <cell> 2002 <col_header> Year   <cell> Bram and Alice <col_header> Title   <cell> Paul <col_header> Role   ,"On television, Bart appeared in The George Carlin Show (1994) and portrayed Paul in Bram and Alice (2002)."
<page_title> List of quasars  <section_title> First quasars found  <table> <cell> 3C 147 <col_header> Quasar   <cell> 1964 <col_header> Date of discovery   ,"3C 147 is a quasar, discovered in 1964."
"<page_title> Pine Lake Park, New Jersey  <section_title> Demographics  <table> <cell> 2010 <col_header> Historical population  <col_header> Census   <cell> 8,707 <col_header> Historical population  <col_header> Pop.   ","As of the 2010 Census, there were 8,707 people residing in Pine Lake Park."
"<page_title> List of Pennsylvania state historical markers in Washington County  <section_title> Historical markers  <table> <cell> Washington County  <cell> December 17, 1981 <col_header> Date dedicated   ","In 1981, the Pennsylvania Historical Commission installed a historical marker noting the historic importance of the Washington County."
"<page_title> Washington Township, Lehigh County, Pennsylvania  <section_title> Demographics  <table> <cell> 2000 <col_header> Historical population  <col_header> Census   <cell> 6,588 <col_header> Historical population  <col_header> Pop.   ","As of the census of 2000, there were 6,588 people residing in Washington Township."
<page_title> Ken McRae  <section_title> Career statistics  <table> <cell> Quebec Nordiques <col_header>   <col_header> Team   <cell> Quebec Nordiques <col_header>   <col_header> Team   <cell> Quebec Nordiques <col_header>   <col_header> Team   <cell> Quebec Nordiques <col_header>   <col_header> Team   <cell> Quebec Nordiques <col_header>   <col_header> Team   <cell> Toronto Maple Leafs <col_header>   <col_header> Team   <cell> Toronto Maple Leafs <col_header>   <col_header> Team   <cell> NHL totals <col_header>   <col_header> Season  <col_header> Team  <col_header> League  <col_header> OHL totals  <col_header> IHL totals  <col_header> AHL totals   <cell> 137 <col_header> Regular season  <col_header>   <col_header> 169  <col_header> 221  <col_header> 291  <row_header> NHL totals </row_header>  ,McRae played 137 games in the NHL with the Quebec Nordiques and Toronto Maple Leafs.
"<page_title> Jon Jones  <section_title> Mixed martial arts record  <table> <cell> Win <col_header> Res.   <cell> Daniel Cormier <col_header> Opponent   <cell> UFC 182 <col_header> Event   <cell> January 3, 2015 <col_header> Date   ",Cormier lost against Jones at UFC 182 in January 2015.
"<page_title> List of TVB series (2008)  <section_title> Third line series  <table> <cell> 18 Feb- 15 Mar <col_header> Airing date   <cell> The Seventh Day 最美麗的第七天 <col_header> English title (Chinese title)   <cell> T: ""最美麗的第七天"" (Kevin Cheng) ST: ""抱著空氣"" (Kevin Cheng & Niki Chow) <col_header> Theme song (T) Sub-theme song (ST)   <cell> Modern romance <col_header> Genre   ",The Seventh Day (Traditional Chinese: 最美麗的第七天) is a TVB modern romance series broadcast in February.
<page_title> A. J. Green  <section_title> NFL career statistics  <table> <cell> 10 <col_header> Regular season  <col_header> Games  <col_header> Rec  <row_header> 2016 </row_header> <row_header> CIN </row_header>  <cell> 10 <col_header> Regular season  <col_header> Games  <col_header> Yds  <row_header> 2016 </row_header> <row_header> CIN </row_header>  <cell> 66 <col_header> Regular season  <col_header> Receiving  <col_header> Avg  <row_header> 2016 </row_header> <row_header> CIN </row_header>  <cell> 964 <col_header> Regular season  <col_header> Receiving  <col_header> Lng  <row_header> 2016 </row_header> <row_header> CIN </row_header>  <cell> 4 <col_header> Regular season  <col_header> Receiving  <col_header> Yds  <row_header> 2016 </row_header> <row_header> CIN </row_header>  ,"A. J. Green finished the season with 66 receptions, 964 receiving yards, and 4 touchdowns in ten games and ten starts."
